ubigeo,ano,semana,p_fal,p_vivax,date
160101,2011,44,3,10,2011-10-31
160101,2011,45,3,19,2011-11-07
160101,2011,46,1,9,2011-11-14
160101,2011,47,6,6,2011-11-21
160101,2011,48,4,11,2011-11-28
160101,2011,49,1,3,2011-12-05
160101,2011,50,5,10,2011-12-12
160101,2011,51,2,7,2011-12-19
160101,2011,52,4,14,2011-12-26
160101,2012,1,12,12,2012-01-02
160101,2012,2,5,8,2012-01-09
160101,2012,3,2,10,2012-01-16
160101,2012,4,4,6,2012-01-23
160101,2012,5,4,10,2012-01-30
160101,2012,6,4,5,2012-02-06
160101,2012,7,4,9,2012-02-13
160101,2012,8,3,9,2012-02-20
160101,2012,9,4,14,2012-02-27
160101,2012,10,1,16,2012-03-05
160101,2012,11,2,6,2012-03-12
160101,2012,12,3,10,2012-03-19
160101,2012,13,1,22,2012-03-26
160101,2012,14,2,10,2012-04-02
160101,2012,15,0,9,2012-04-09
160101,2012,16,1,13,2012-04-16
160101,2012,17,0,6,2012-04-23
160101,2012,18,4,17,2012-04-30
160101,2012,19,0,17,2012-05-07
160101,2012,20,1,32,2012-05-14
160101,2012,21,4,29,2012-05-21
160101,2012,22,0,16,2012-05-28
160101,2012,23,5,28,2012-06-04
160101,2012,24,6,36,2012-06-11
160101,2012,25,1,17,2012-06-18
160101,2012,26,5,29,2012-06-25
160101,2012,27,8,30,2012-07-02
160101,2012,28,8,29,2012-07-09
160101,2012,29,3,25,2012-07-16
160101,2012,30,3,16,2012-07-23
160101,2012,31,3,17,2012-07-30
160101,2012,32,0,8,2012-08-06
160101,2012,33,0,7,2012-08-13
160101,2012,34,1,14,2012-08-20
160101,2012,35,3,10,2012-08-27
160101,2012,36,2,9,2012-09-03
160101,2012,37,4,7,2012-09-10
160101,2012,38,1,7,2012-09-17
160101,2012,39,0,18,2012-09-24
160101,2012,40,2,10,2012-10-01
160101,2012,41,2,5,2012-10-08
160101,2012,42,0,10,2012-10-15
160101,2012,43,3,12,2012-10-22
160101,2012,44,0,12,2012-10-29
160101,2012,45,3,17,2012-11-05
160101,2012,46,0,10,2012-11-12
160101,2012,47,1,17,2012-11-19
160101,2012,48,3,17,2012-11-26
160101,2012,49,3,11,2012-12-03
160101,2012,50,5,21,2012-12-10
160101,2012,51,3,23,2012-12-17
160101,2012,52,0,18,2012-12-24
160101,2013,1,2,24,2013-01-07
160101,2013,2,3,12,2013-01-14
160101,2013,3,3,21,2013-01-21
160101,2013,4,4,20,2013-01-28
160101,2013,5,5,26,2013-02-04
160101,2013,6,5,29,2013-02-11
160101,2013,7,3,20,2013-02-18
160101,2013,8,1,30,2013-02-25
160101,2013,9,1,19,2013-03-04
160101,2013,10,3,43,2013-03-11
160101,2013,11,9,31,2013-03-18
160101,2013,12,11,40,2013-03-25
160101,2013,13,8,42,2013-04-01
160101,2013,14,5,52,2013-04-08
160101,2013,15,2,39,2013-04-15
160101,2013,16,2,58,2013-04-22
160101,2013,17,2,41,2013-04-29
160101,2013,18,4,40,2013-05-06
160101,2013,19,6,38,2013-05-13
160101,2013,20,3,66,2013-05-20
160101,2013,21,10,72,2013-05-27
160101,2013,22,14,56,2013-06-03
160101,2013,23,3,73,2013-06-10
160101,2013,24,19,72,2013-06-17
160101,2013,25,14,53,2013-06-24
160101,2013,26,6,41,2013-07-01
160101,2013,27,6,66,2013-07-08
160101,2013,28,2,74,2013-07-15
160101,2013,29,6,69,2013-07-22
160101,2013,30,6,26,2013-07-29
160101,2013,31,11,58,2013-08-05
160101,2013,32,7,55,2013-08-12
160101,2013,33,10,41,2013-08-19
160101,2013,34,6,57,2013-08-26
160101,2013,35,6,32,2013-09-02
160101,2013,36,12,38,2013-09-09
160101,2013,37,10,41,2013-09-16
160101,2013,38,15,37,2013-09-23
160101,2013,39,8,52,2013-09-30
160101,2013,40,19,45,2013-10-07
160101,2013,41,18,41,2013-10-14
160101,2013,42,39,55,2013-10-21
160101,2013,43,20,38,2013-10-28
160101,2013,44,5,30,2013-11-04
160101,2013,45,13,59,2013-11-11
160101,2013,46,8,34,2013-11-18
160101,2013,47,1,31,2013-11-25
160101,2013,48,8,29,2013-12-02
160101,2013,49,8,29,2013-12-09
160101,2013,50,11,27,2013-12-16
160101,2013,51,0,19,2013-12-23
160101,2013,52,4,21,2013-12-30
160101,2014,1,5,30,2014-01-06
160101,2014,2,12,49,2014-01-13
160101,2014,3,14,48,2014-01-20
160101,2014,4,8,46,2014-01-27
160101,2014,5,9,59,2014-02-03
160101,2014,6,3,42,2014-02-10
160101,2014,7,6,39,2014-02-17
160101,2014,8,12,70,2014-02-24
160101,2014,9,6,58,2014-03-03
160101,2014,10,4,85,2014-03-10
160101,2014,11,10,57,2014-03-17
160101,2014,12,6,58,2014-03-24
160101,2014,13,12,92,2014-03-31
160101,2014,14,9,114,2014-04-07
160101,2014,15,9,94,2014-04-14
160101,2014,16,8,86,2014-04-21
160101,2014,17,10,81,2014-04-28
160101,2014,18,5,63,2014-05-05
160101,2014,19,15,96,2014-05-12
160101,2014,20,8,63,2014-05-19
160101,2014,21,8,109,2014-05-26
160101,2014,22,9,54,2014-06-02
160101,2014,23,24,88,2014-06-09
160101,2014,24,17,92,2014-06-16
160101,2014,25,13,113,2014-06-23
160101,2014,26,12,74,2014-06-30
160101,2014,27,15,94,2014-07-07
160101,2014,28,5,119,2014-07-14
160101,2014,29,10,101,2014-07-21
160101,2014,30,8,76,2014-07-28
160101,2014,31,14,68,2014-08-04
160101,2014,32,9,54,2014-08-11
160101,2014,33,9,55,2014-08-18
160101,2014,34,3,57,2014-08-25
160101,2014,35,7,49,2014-09-01
160101,2014,36,3,36,2014-09-08
160101,2014,37,7,47,2014-09-15
160101,2014,38,6,56,2014-09-22
160101,2014,39,1,37,2014-09-29
160101,2014,40,3,41,2014-10-06
160101,2014,41,10,48,2014-10-13
160101,2014,42,1,37,2014-10-20
160101,2014,43,7,29,2014-10-27
160101,2014,44,5,21,2014-11-03
160101,2014,45,7,31,2014-11-10
160101,2014,46,2,29,2014-11-17
160101,2014,47,4,37,2014-11-24
160101,2014,48,1,29,2014-12-01
160101,2014,49,5,42,2014-12-08
160101,2014,50,0,24,2014-12-15
160101,2014,51,5,35,2014-12-22
160101,2014,52,1,19,2014-12-29
160101,2014,53,2,21,2015-01-05
160101,2015,1,3,46,2015-01-05
160101,2015,2,3,26,2015-01-12
160101,2015,3,4,35,2015-01-19
160101,2015,4,4,24,2015-01-26
160101,2015,5,6,53,2015-02-02
160101,2015,6,10,21,2015-02-09
160101,2015,7,2,27,2015-02-16
160101,2015,8,5,32,2015-02-23
160101,2015,9,1,44,2015-03-02
160101,2015,10,2,36,2015-03-09
160101,2015,11,3,24,2015-03-16
160101,2015,12,12,30,2015-03-23
160101,2015,13,3,32,2015-03-30
160101,2015,14,11,43,2015-04-06
160101,2015,15,2,30,2015-04-13
160101,2015,16,5,20,2015-04-20
160101,2015,17,1,35,2015-04-27
160101,2015,18,2,29,2015-05-04
160101,2015,19,4,21,2015-05-11
160101,2015,20,1,29,2015-05-18
160101,2015,21,4,20,2015-05-25
160101,2015,22,3,27,2015-06-01
160101,2015,23,2,23,2015-06-08
160101,2015,24,1,29,2015-06-15
160101,2015,25,2,25,2015-06-22
160101,2015,26,1,29,2015-06-29
160101,2015,27,2,34,2015-07-06
160101,2015,28,3,26,2015-07-13
160101,2015,29,3,41,2015-07-20
160101,2015,30,8,57,2015-07-27
160101,2015,31,4,51,2015-08-03
160101,2015,32,4,29,2015-08-10
160101,2015,33,4,44,2015-08-17
160101,2015,34,4,41,2015-08-24
160101,2015,35,6,37,2015-08-31
160101,2015,36,7,42,2015-09-07
160101,2015,37,6,39,2015-09-14
160101,2015,38,16,71,2015-09-21
160101,2015,39,14,32,2015-09-28
160101,2015,40,3,41,2015-10-05
160101,2015,41,3,33,2015-10-12
160101,2015,42,6,28,2015-10-19
160101,2015,43,4,32,2015-10-26
160101,2015,44,3,38,2015-11-02
160101,2015,45,4,46,2015-11-09
160101,2015,46,5,28,2015-11-16
160101,2015,47,3,18,2015-11-23
160101,2015,48,2,29,2015-11-30
160101,2015,49,8,37,2015-12-07
160101,2015,50,6,25,2015-12-14
160101,2015,51,7,23,2015-12-21
160101,2015,52,5,23,2015-12-28
160101,2016,1,15,40,2016-01-04
160101,2016,2,5,39,2016-01-11
160101,2016,3,11,40,2016-01-18
160101,2016,4,8,52,2016-01-25
160101,2016,5,11,54,2016-02-01
160101,2016,6,31,46,2016-02-08
160101,2016,7,24,40,2016-02-15
160101,2016,8,15,77,2016-02-22
160101,2016,9,13,34,2016-02-29
160101,2016,10,9,30,2016-03-07
160101,2016,11,4,37,2016-03-14
160101,2016,12,8,27,2016-03-21
160101,2016,13,40,57,2016-03-28
160101,2016,14,11,43,2016-04-04
160101,2016,15,25,45,2016-04-11
160101,2016,16,28,37,2016-04-18
160101,2016,17,19,24,2016-04-25
160101,2016,18,15,15,2016-05-02
160101,2016,19,23,42,2016-05-09
160101,2016,20,31,48,2016-05-16
160101,2016,21,24,47,2016-05-23
